Daily and Multi-day air quality monitoring data
Measured data - All Data are GMT hour ending
Data for year 2010
Multi-day data,London Westminster,,London Marylebone Road,,Swansea Coedgwilym,,Swansea Morriston,,
Start Date,End Date,Cu,Status / units,Fe,Status / units,Zn,Status / units,Cu,Status / units,Fe,Status / units,Zn,Status / units,Cu,Status / units,Fe,Status / units,Zn,Status / units,Cu,Status / units,Fe,Status / units,Zn,Status / units,
22/08/2012,30/08/2012,,,,,,,,,,,,,2.13,V ngm-3,88.7,V ngm-3,9.24,V ngm-3,11.91,V ngm-3,306.5,V ngm-3,7.84,V ngm-3,
30/08/2012,06/09/2012,,,,,,,,,,,,,2.44,V ngm-3,140.3,V ngm-3,5.75,V ngm-3,20.67,V ngm-3,493.5,V ngm-3,11.03,V ngm-3,
06/09/2012,13/09/2012,,,,,,,,,,,,,4,V ngm-3,134.2,V ngm-3,9.61,V ngm-3,19.68,V ngm-3,519.8,V ngm-3,18.34,V ngm-3,
13/09/2012,20/09/2012,,,,,,,,,,,,,2.44,V ngm-3,68.1,V ngm-3,3.75,V ngm-3,24.73,V ngm-3,552.1,V ngm-3,17.08,V ngm-3,
28/08/2012,25/09/2012,14.22,V ngm-3,395,V ngm-3,15.6,V ngm-3,,,,,,,,,,,,,,,,,,,
29/08/2012,26/09/2012,,,,,,,75.7,V ngm-3,1750.5,V ngm-3,31.9,V ngm-3,,,,,,,,,,,,,
20/09/2012,26/09/2012,,,,,,,,,,,,,4.3,V ngm-3,99.1,V ngm-3,6.98,V ngm-3,18.72,V ngm-3,428.7,V ngm-3,13.91,V ngm-3,
26/09/2012,03/10/2012,,,,,,,,,,,,,2.32,V ngm-3,53.1,V ngm-3,2.94,V ngm-3,18.99,V ngm-3,411.6,V ngm-3,11.13,V ngm-3,
03/10/2012,10/10/2012,,,,,,,,,,,,,6.04,V ngm-3,102.9,V ngm-3,20.06,V ngm-3,23.72,V ngm-3,520.4,V ngm-3,22.23,V ngm-3,
10/10/2012,17/10/2012,,,,,,,,,,,,,2.51,V ngm-3,82.3,V ngm-3,7.41,V ngm-3,18.27,V ngm-3,479.6,V ngm-3,18.6,V ngm-3,
25/09/2012,24/10/2012,13.71,V ngm-3,310.1,V ngm-3,12.86,V ngm-3,,,,,,,,,,,,,,,,,,,
26/09/2012,24/10/2012,,,,,,,62.13,V ngm-3,1382.6,V ngm-3,27.35,V ngm-3,,,,,,,,,,,,,
17/10/2012,24/10/2012,,,,,,,,,,,,,4.38,V ngm-3,190.1,V ngm-3,20.64,V ngm-3,25.11,V ngm-3,641,V ngm-3,26.01,V ngm-3,
24/10/2012,01/11/2012,,,,,,,,,,,,,2.02,V ngm-3,77.8,V ngm-3,4.58,V ngm-3,21.08,V ngm-3,508,V ngm-3,16.5,V ngm-3,
01/11/2012,07/11/2012,,,,,,,,,,,,,21.39,V ngm-3,114.1,V ngm-3,28.09,V ngm-3,65.44,V ngm-3,693.8,V ngm-3,59.67,V ngm-3,
07/11/2012,14/11/2012,,,,,,,,,,,,,3.92,V ngm-3,92.1,V ngm-3,6.11,V ngm-3,25.53,V ngm-3,514.7,V ngm-3,15.49,V ngm-3,
24/10/2012,21/11/2012,,,,,,,148.16,V ngm-3,3229,V ngm-3,86.8,V ngm-3,,,,,,,,,,,,,
14/11/2012,21/11/2012,,,,,,,,,,,,,6.79,V ngm-3,202,V ngm-3,17.69,V ngm-3,31.48,V ngm-3,795.8,V ngm-3,35.71,V ngm-3,
24/10/2012,22/11/2012,18.79,V ngm-3,333.2,V ngm-3,27.57,V ngm-3,,,,,,,,,,,,,,,,,,,
21/11/2012,30/11/2012,,,,,,,,,,,,,3.44,V ngm-3,97.9,V ngm-3,6.42,V ngm-3,27.88,V ngm-3,618.1,V ngm-3,17.01,V ngm-3,
30/11/2012,05/12/2012,,,,,,,,,,,,,3.8,V ngm-3,112,V ngm-3,10.48,V ngm-3,35.69,V ngm-3,924.1,V ngm-3,27.21,V ngm-3,
05/12/2012,12/12/2012,,,,,,,,,,,,,5.45,V ngm-3,143.8,V ngm-3,9.6,V ngm-3,39.29,V ngm-3,887.9,V ngm-3,27.37,V ngm-3,
22/11/2012,18/12/2012,19.61,V ngm-3,508.8,V ngm-3,24.02,V ngm-3,,,,,,,,,,,,,,,,,,,
21/11/2012,19/12/2012,,,,,,,66.01,V ngm-3,1628.7,V ngm-3,43.95,V ngm-3,,,,,,,,,,,,,
12/12/2012,19/12/2012,,,,,,,,,,,,,4.75,V ngm-3,127.3,V ngm-3,11.04,V ngm-3,29.22,V ngm-3,729.5,V ngm-3,27.1,V ngm-3,
19/12/2012,27/12/2012,,,,,,,,,,,,,,,,,,,30.6,V ngm-3,382.9,V ngm-3,15.18,V ngm-3,
19/12/2012,28/12/2012,,,,,,,,,,,,,2.66,V ngm-3,73.9,V ngm-3,4.93,V ngm-3,,,,,,,
18/12/2012,31/12/2012,13.65,V ngm-3,368.1,V ngm-3,20.63,V ngm-3,,,,,,,,,,,,,,,,,,,
19/12/2012,31/12/2012,,,,,,,50.95,V ngm-3,1261.9,V ngm-3,25.72,V ngm-3,,,,,,,,,,,,,
28/12/2012,31/12/2012,,,,,,,,,,,,,1.56,V ngm-3,45.1,V ngm-3,1.94,V ngm-3,,,,,,,
27/12/2012,31/12/2012,,,,,,,,,,,,,,,,,,,11.54,V ngm-3,278,V ngm-3,10.31,V ngm-3,
Data for year 2013
Multi-day data,London Westminster,,London Marylebone Road,,Swansea Coedgwilym,,Swansea Morriston,,
Start Date,End Date,Cu,Status / units,Fe,Status / units,Zn,Status / units,Cu,Status / units,Fe,Status / units,Zn,Status / units,Cu,Status / units,Fe,Status / units,Zn,Status / units,Cu,Status / units,Fe,Status / units,Zn,Status / units,
01/01/2013,02/01/2013,,,,,,,,,,,,,1.62,V ngm-3,46.9,V ngm-3,2.02,V ngm-3,11.93,V ngm-3,287.5,V ngm-3,10.67,V ngm-3,
02/01/2013,10/01/2013,,,,,,,,,,,,,4.8,V ngm-3,133.7,V ngm-3,12.53,V ngm-3,20.96,V ngm-3,487.3,V ngm-3,15.93,V ngm-3,
01/01/2013,16/01/2013,,,,,,,51.76,V ngm-3,1281.9,V ngm-3,26.13,V ngm-3,,,,,,,,,,,,,
10/01/2013,16/01/2013,,,,,,,,,,,,,4.43,V ngm-3,159.4,V ngm-3,15.18,V ngm-3,26.22,V ngm-3,665.3,V ngm-3,25.47,V ngm-3,
01/01/2013,17/01/2013,13.93,V ngm-3,375.6,V ngm-3,21.05,V ngm-3,,,,,,,,,,,,,,,,,,,
16/01/2013,24/01/2013,,,,,,,,,,,,,3.83,V ngm-3,99.1,V ngm-3,12.68,V ngm-3,15.82,V ngm-3,420.4,V ngm-3,31.49,V ngm-3,
24/01/2013,31/01/2013,,,,,,,,,,,,,2.1,V ngm-3,59.4,V ngm-3,4.77,V ngm-3,10.57,V ngm-3,372.3,V ngm-3,19,V ngm-3,
31/01/2013,06/02/2013,,,,,,,,,,,,,2.33,V ngm-3,53,V ngm-3,5.84,V ngm-3,14.82,V ngm-3,396.1,V ngm-3,10.1,V ngm-3,
17/01/2013,13/02/2013,12.58,V ngm-3,379.8,V ngm-3,21.81,V ngm-3,,,,,,,,,,,,,,,,,,,
16/01/2013,13/02/2013,,,,,,,41.18,V ngm-3,1109.9,V ngm-3,27.74,V ngm-3,,,,,,,,,,,,,
06/02/2013,13/02/2013,,,,,,,,,,,,,3.02,V ngm-3,81.8,V ngm-3,10.33,V ngm-3,18.84,V ngm-3,558.8,V ngm-3,26.1,V ngm-3,
13/02/2013,20/02/2013,,,,,,,,,,,,,4.6,V ngm-3,209.7,V ngm-3,29.22,V ngm-3,24.65,V ngm-3,881.3,V ngm-3,85.56,V ngm-3,
20/02/2013,01/03/2013,,,,,,,,,,,,,3.31,V ngm-3,155.9,V ngm-3,23.74,V ngm-3,25.84,V ngm-3,730.9,V ngm-3,40.67,V ngm-3,
01/03/2013,06/03/2013,,,,,,,,,,,,,6.86,V ngm-3,342.1,V ngm-3,35.97,V ngm-3,24.73,V ngm-3,956.7,V ngm-3,54.71,V ngm-3,
